FIESTAS LOCALES DE ANDALUCÍA 2023,,,
ALMERÍA,ABLA,20 DE ABRIL,21 DE ABRIL
ALMERÍA,ABRUCENA,20 DE MARZO,15 DE MAYO
ALMERÍA,ADRA,25 DE ABRIL,8 DE SEPTIEMBRE
ALMERÍA,ALBÁNCHEZ,16 DE AGOSTO,17 DE AGOSTO
ALMERÍA,ALBOLODUY,16 DE AGOSTO,18 DE SEPTIEMBRE
ALMERÍA,ALBOX,10 DE ABRIL,8 DE SEPTIEMBRE
ALMERÍA,ALCOLEA,20 DE ENERO,4 DE SEPTIEMBRE
ALMERÍA,ALCUDIA DE MONTEAGUD,16 DE AGOSTO,13 DE DICIEMBRE
ALMERÍA,ALHAMA DE ALMERÍA,21 DE JULIO,7 DE DICIEMBRE
ALMERÍA,ALICÚN,20 DE ENERO,16 DE FEBRERO
ALMERÍA,ALMERÍA,26 DE AGOSTO,26 DE DICIEMBRE
ALMERÍA,ALMÓCITA,3 DE FEBRERO,4 DE FEBRERO
ALMERÍA,ALSODUX,16 DE FEBRERO,14 DE AGOSTO
ALMERÍA,ANTAS,16 DE AGOSTO,8 DE SEPTIEMBRE
ALMERÍA,ARBOLEAS,10 DE ABRIL,21 DE AGOSTO
ALMERÍA,ARMUÑA DE ALMANZORA,17 DE ENERO,13 DE OCTUBRE
ALMERÍA,BAYARQUE,13 DE JUNIO,6 DE OCTUBRE
ALMERÍA,BÉDAR,22 DE SEPTIEMBRE,25 DE SEPTIEMBRE
ALMERÍA,BEIRES,14 DE AGOSTO,16 DE AGOSTO
ALMERÍA,BENAHADUX,16 DE FEBRERO,17 DE MARZO
ALMERÍA,BENITAGLA,23 DE JUNIO,21 DE AGOSTO
ALMERÍA,BENIZALÓN,26 DE JULIO,14 DE AGOSTO
ALMERÍA,BENTARIQUE,16 DE FEBRERO,8 DE JULIO
ALMERÍA,BERJA,4 DE AGOSTO,8 DE SEPTIEMBRE
ALMERÍA,CANJÁYAR,19 DE ABRIL,14 DE SEPTIEMBRE
ALMERÍA,CANTORIA,17 DE ENERO,10 DE ABRIL
ALMERÍA,CARBONERAS,12 DE JUNIO,13 DE JUNIO
ALMERÍA,CHIRIVEL,20 DE MARZO,21 DE AGOSTO
ALMERÍA,CÓBDAR,23 DE ENERO,7 DE AGOSTO
ALMERÍA,CUEVAS DEL ALMANZORA,17 DE JULIO,13 DE NOVIEMBRE
ALMERÍA,DALÍAS,18 DE SEPTIEMBRE,25 DE SEPTIEMBRE
ALMERÍA,"EJIDO, EL",24 DE ABRIL,3 DE JULIO
ALMERÍA,FELIX,25 DE ABRIL,16 DE AGOSTO
ALMERÍA,FINES,10 DE ABRIL,31 DE JULIO
ALMERÍA,FIÑANA,20 DE ENERO,8 DE JUNIO
ALMERÍA,GÁDOR,16 DE FEBRERO,13 DE OCTUBRE
ALMERÍA,"GALLARDOS, LOS",14 DE JULIO,17 DE JULIO
ALMERÍA,GARRUCHA,17 DE JULIO,16 DE AGOSTO
ALMERÍA,HUÉRCAL DE ALMERÍA,8 DE MAYO,17 DE JULIO
ALMERÍA,HUÉRCAL-OVERA,20 DE OCTUBRE,24 DE OCTUBRE
ALMERÍA,INSTINCIÓN,20 DE ENERO,1 DE SEPTIEMBRE
ALMERÍA,LAROYA,24 DE ABRIL,31 DE AGOSTO
ALMERÍA,LÁUJAR DE ANDARAX,23 DE ENERO,19 DE SEPTIEMBRE
ALMERÍA,LÍJAR,3 DE FEBRERO,29 DE SEPTIEMBRE
ALMERÍA,LUBRÍN,20 DE ENERO,9 DE OCTUBRE
ALMERÍA,LÚCAR,20 DE ENERO,25 DE ABRIL
ALMERÍA,MACAEL,24 DE ABRIL,6 DE OCTUBRE
ALMERÍA,MARIA,2 DE MAYO,14 DE AGOSTO
ALMERÍA,MOJÁCAR,9 DE JUNIO,28 DE AGOSTO
ALMERÍA,NACIMIENTO,20 DE MARZO,29 DE SEPTIEMBRE
ALMERÍA,NÍJAR,20 DE ENERO,15 DE MAYO
ALMERÍA,OHANES,25 DE ABRIL,8 DE SEPTIEMBRE
ALMERÍA,OLULA DE CASTRO,14 DE AGOSTO,20 DE NOVIEMBRE
ALMERÍA,OLULA DEL RÍO,23 DE ENERO,22 DE SEPTIEMBRE
ALMERÍA,PADULES,17 DE ENERO,7 DE AGOSTO
ALMERÍA,PARTALOA,13 DE JUNIO,29 DE SEPTIEMBRE
ALMERÍA,PATERNA DEL RIO,15 DE MAYO,21 DE AGOSTO
ALMERÍA,PECHINA,12 DE MAYO,15 DE MAYO
ALMERÍA,PULPÍ,16 DE MARZO,29 DE SEPTIEMBRE
ALMERÍA,RÁGOL,18 DE AGOSTO,21 DE AGOSTO
ALMERÍA,RIOJA,16 DE FEBRERO,2 DE OCTUBRE
ALMERÍA,ROQUETAS DE MAR,26 DE JULIO,7 DE OCTUBRE
ALMERÍA,SANTA CRUZ DE MARCHENA,3 DE MAYO,28 DE AGOSTO
ALMERÍA,SANTA FE DE MONDÚJAR,16 DE FEBRERO,9 DE OCTUBRE
ALMERÍA,SENÉS,7 DE AGOSTO,14 DE SEPTIEMBRE
ALMERÍA,SERÓN,17 DE JULIO,16 DE AGOSTO
ALMERÍA,SIERRO,20 DE ENERO,4 DE SEPTIEMBRE
ALMERÍA,SOMONTIN,20 DE ENERO,13 DE OCTUBRE
ALMERÍA,SORBAS,16 DE AGOSTO,17 DE AGOSTO
ALMERÍA,SUFLÍ,16 DE AGOSTO,7 DE DICIEMBRE
ALMERÍA,TABERNAS,20 DE ENERO,11 DE AGOSTO
ALMERÍA,TABERNO,5 DE ENERO,8 DE SEPTIEMBRE
ALMERÍA,TAHAL,14 DE SEPTIEMBRE,15 DE SEPTIEMBRE
ALMERÍA,TÍJOLA,20 DE ENERO,15 DE SEPTIEMBRE
ALMERÍA,"TRES VILLAS, LAS",21 DE AGOSTO,16 DE OCTUBRE
ALMERÍA,TURRE,4 DE OCTUBRE,5 DE OCTUBRE
ALMERÍA,TURRILLAS,13 DE JUNIO,26 DE DICIEMBRE
ALMERÍA,ULEILA DEL CAMPO,11 DE SEPTIEMBRE,12 DE SEPTIEMBRE
ALMERÍA,VÉLEZ BLANCO,10 DE ABRIL,11 DE AGOSTO
ALMERÍA,VÉLEZ RUBIO,10 DE ABRIL,4 DE AGOSTO
ALMERÍA,VERA,9 DE JUNIO,25 DE SEPTIEMBRE
ALMERÍA,VIATOR,27 DE OCTUBRE,30 DE OCTUBRE
